Log,Label
Apr 20 23:19:26 axcf2152 syslog-ng[1323]: syslog-ng starting up; version='3.36.1',0
Apr 20 23:19:26 axcf2152 kernel: [    0.074605] 000: pps_core: LinuxPPS API ver. 1 registered,0
Apr 20 23:19:26 axcf2152 kernel: [    0.074618] 000: pps_core: Software ver. 5.3.6 - Copyright 2005-2007 Rodolfo Giometti <giometti@linux.it>,0
Apr 20 23:19:26 axcf2152 kernel: [    0.074651] 000: PTP clock support registered,0
Apr 20 23:19:26 axcf2152 kernel: [    0.074987] 000: FPGA manager framework,0
Apr 20 23:19:26 axcf2152 kernel: [    0.077980] 000: clocksource: Switched to clocksource timer1,0
Apr 20 23:19:26 axcf2152 kernel: [    0.632478] 001: NET: Registered protocol family 2,0
"Apr 20 23:19:26 axcf2152 kernel: [    0.632677] 001: IP idents hash table entries: 8192 (order: 4, 65536 bytes, linear)",0
"Apr 20 23:19:26 axcf2152 kernel: [    0.633784] 001: tcp_listen_portaddr_hash hash table entries: 256 (order: 1, 8192 bytes, linear)",0
"Apr 20 23:19:26 axcf2152 kernel: [    0.633837] 001: TCP established hash table entries: 4096 (order: 2, 16384 bytes, linear)",0
"Apr 20 23:19:26 axcf2152 kernel: [    0.633891] 001: TCP bind hash table entries: 4096 (order: 4, 114688 bytes, linear)",0
Apr 20 23:19:26 axcf2152 kernel: [    0.634163] 001: TCP: Hash tables configured (established 4096 bind 4096),0
"Apr 20 23:19:26 axcf2152 kernel: [    0.634326] 001: UDP hash table entries: 256 (order: 2, 16384 bytes, linear)",0
"Apr 20 23:19:26 axcf2152 kernel: [    0.634397] 001: UDP-Lite hash table entries: 256 (order: 2, 16384 bytes, linear)",0
Apr 20 23:19:26 axcf2152 kernel: [    0.634675] 001: NET: Registered protocol family 1,0
Apr 20 23:19:26 axcf2152 kernel: [    0.635453] 001: RPC: Registered named UNIX socket transport module.,0
Apr 20 23:19:26 axcf2152 kernel: [    0.635462] 001: RPC: Registered udp transport module.,0
Apr 20 23:19:26 axcf2152 kernel: [    0.635466] 001: RPC: Registered tcp transport module.,0
Apr 20 23:19:26 axcf2152 kernel: [    0.635469] 001: RPC: Registered tcp NFSv4.1 backchannel transport module.,0
"Apr 20 23:19:26 axcf2152 kernel: [    0.635483] 001: PCI: CLS 0 bytes, default 64",0
Apr 20 23:19:26 axcf2152 kernel: [    0.637459] 001: workingset: timestamp_bits=14 max_order=17 bucket_order=3,0
Apr 20 23:19:26 axcf2152 kernel: [    0.653924] 001: NFS: Registering the id_resolver key type,0
Apr 20 23:19:26 axcf2152 kernel: [    0.653963] 001: Key type id_resolver registered,0
Apr 20 23:19:26 axcf2152 kernel: [    0.653968] 001: Key type id_legacy registered,0
Apr 20 23:19:26 axcf2152 kernel: [    0.654019] 001: ntfs: driver 2.1.32 [Flags: R/W].,0
Apr 20 23:19:26 axcf2152 kernel: [    0.690930] 001: io scheduler mq-deadline registered,0
Apr 20 23:19:26 axcf2152 kernel: [    0.690946] 001: io scheduler kyber registered,0
Apr 20 23:19:26 axcf2152 kernel: [    0.692810] 001: altera-pcie c0000000.pcie: host bridge /bridge@0xc0000000/pcie@0x000000000 ranges:,0
Apr 20 23:19:26 axcf2152 kernel: [    0.692834] 001: altera-pcie c0000000.pcie: Parsing ranges property...,0
Apr 20 23:19:26 axcf2152 kernel: [    0.692857] 001: altera-pcie c0000000.pcie:   MEM 0xc0000000..0xcfffffff -> 0xc0000000,0
Apr 20 23:19:26 axcf2152 kernel: [    0.692870] 001: altera-pcie c0000000.pcie: adding indirect (not memory mapped) I/O space,0
Apr 20 23:19:26 axcf2152 kernel: [    0.693160] 001: altera-pcie c0000000.pcie: PCI host bridge to bus 0000:00,0
Apr 20 23:19:26 axcf2152 kernel: [    0.693179] 001: pci_bus 0000:00: root bus resource [bus 00-ff],0
Apr 20 23:19:26 axcf2152 kernel: [    0.693193] 001: pci_bus 0000:00: root bus resource [mem 0xc0000000-0xcfffffff],0
Apr 20 23:19:26 axcf2152 kernel: [    0.693201] 001: pci_bus 0000:00: root bus resource [io  0x0000-0xffff],0
Apr 20 23:19:26 axcf2152 kernel: [    0.693211] 001: pci_bus 0000:00: scanning bus,0
Apr 20 23:19:26 axcf2152 kernel: [    0.693403] 001: pci 0000:00:00.0: [1172:e000] type 01 class 0x060400,0
