Message,Label,Attack Technique,data-type,extracted
"2024-08-28T17:18:23.284854 Security.Arp.Device.Interface.DeviceInfo Device Interface Info Device Info: article name AXC F 2152, article number 2404267, serial number 1368735890, firmware version 2022.9.0 (22.9.0.33), hardware version 04, fpga version 1.1.80 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Device Info: article name AXC F 2152, article number 2404267, serial number 1368735890, firmware version 2022.9.0 (22.9.0.33), hardware version 04, fpga version 1.1.80</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;article_name&quot;:&quot;AXC F 2152&quot;,&quot;article_nr&quot;:&quot;2404267&quot;,&quot;fpga_version&quot;:&quot;1.1.80&quot;,&quot;fw_version&quot;:&quot;2022.9.0 (22.9.0.33)&quot;,&quot;hw_version&quot;:&quot;04&quot;,&quot;serial_nr&quot;:&quot;1368735890&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security', 'firmware', 'firmware']"
"2024-08-28T17:18:23.285615 Security.Arp.Device.Interface.SdCardState Device Interface Info External SD Card. Boot Device: internalSD, State: activated <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">External SD Card. Boot Device: internalSD, State: activated</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;boot_device&quot;:&quot;internalSD&quot;,&quot;state&quot;:&quot;activated&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:18:23.286117 Security.Arp.Device.Interface.EthernetInterfaces Device Interface Info Configured IP Addresses: Interface number 1 Ip Address 192.168.1.10 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Configured IP Addresses: Interface number 1 Ip Address 192.168.1.10</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;ethernet_iface_1_ip_addr&quot;:&quot;192.168.1.10&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:18:23.286484 Security.Arp.Device.Interface.NtpConfigStatus Device Interface Info NTP servers config. Servers Hostnames:  <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">NTP servers config. Servers Hostnames: </field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;hostnames&quot;:&quot;&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:18:24.226691 Security.Arp.Services.Firewall.Startup Firewall Manager Info Firewall run status is Stopped, activation status is Deactivated, active tables: None <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Firewall run status is Stopped, activation status is Deactivated, active tables: None</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;active_tables&quot;:&quot;None&quot;,&quot;run_status&quot;:&quot;Stopped&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Firewall', 'Firewall', 'Firewall', 'Firewall', 'Stopped', 'Stopped', 'Stopped', 'Security', 'Security', 'Deactivated', 'Deactivated', 'Startup']"
"2024-08-28T17:18:24.314470 Security.Arp.Services.Spm.Startup Security Profile Manager Info Security Profile status: Deactivated <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Security Profile status: Deactivated</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;activation-status&quot;:&quot;Deactivated&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security', 'Security', 'Security', 'Security', 'Deactivated', 'Deactivated', 'Deactivated', 'Startup']"
"2024-08-28T17:18:27.475194 Security.Arp.Services.AppManager.Startup App Manager Info Installed Apps: [] <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Installed Apps: []</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;installed_apps&quot;:&quot;[]&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security', 'Startup']"
"2024-08-28T17:18:27.625427 Security.Arp.Services.Wcm.Startup Web Configuration Manager Info Identity Store for HTTPS certificate: HTTPS-self-signed, Given Identity Store for HTTPS certificate: HTTPS-self-signed,Self-signed certificate Identity Store HTTPS-self-signed, Cipher Suites Set: DefaultCiphers, TLS Versions: TLSv1.2;TLSv1.3 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Identity Store for HTTPS certificate: HTTPS-self-signed, Given Identity Store for HTTPS certificate: HTTPS-self-signed,Self-signed certificate Identity Store HTTPS-self-signed, Cipher Suites Set: DefaultCiphers, TLS Versions: TLSv1.2;TLSv1.3</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;cipher-suites-set&quot;:&quot;DefaultCiphers&quot;,&quot;given-https-cert-identitystore&quot;:&quot;HTTPS-self-signed&quot;,&quot;https-cert-identitystore&quot;:&quot;HTTPS-self-signed&quot;,&quot;selfsigned-identitystore&quot;:&quot;HTTPS-self-signed&quot;,&quot;tls-versions&quot;:&quot;DefaultCiphers&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security', 'Startup']"
"2024-08-28T17:18:32.491485 Security.Arp.Services.Wcm.CertificateRegenerated Web Configuration Manager Info Self-signed HTTPS certificate regenerated. Subject: C=DE,ST=NRW,L=Blomberg,OU=PHOENIX CONTACT GmbH & Co KG,O=PHOENIX CONTACT,CN=PLCnext HTTPS Interface List.   validity: 2020-06-18T11:57:11.000000 - 9999-12-31T23:59:59.000000 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Self-signed HTTPS certificate regenerated. Subject: C=DE,ST=NRW,L=Blomberg,OU=PHOENIX CONTACT GmbH &amp; Co KG,O=PHOENIX CONTACT,CN=PLCnext HTTPS Interface List.   validity: 2020-06-18T11:57:11.000000 - 9999-12-31T23:59:59.000000</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;subject&quot;:&quot;C=DE,ST=NRW,L=Blomberg,OU=PHOENIX CONTACT GmbH &amp; Co KG,O=PHOENIX CONTACT,CN=PLCnext HTTPS Interface List&quot;,&quot;validity&quot;:&quot;2020-06-18T11:57:11.000000 - 9999-12-31T23:59:59.000000&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:18:32.552480 Security.Arp.Services.Wcm.HttpsTlsConfigSet Web Configuration Manager Info Cipher Suites Set: DefaultCiphers, TLS Versions: TLSv1.2;TLSv1.3 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Cipher Suites Set: DefaultCiphers, TLS Versions: TLSv1.2;TLSv1.3</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;cipher-suites-set&quot;:&quot;DefaultCiphers&quot;,&quot;tls-versions&quot;:&quot;DefaultCiphers&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:18:34.329902 Security.Arp.Device.Interface.EthernetLinkStateChanged Device Interface Info Link state changed: interface 1, port 2, status Up <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Link state changed: interface 1, port 2, status Up</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;interface&quot;:&quot;1&quot;,&quot;port&quot;:&quot;2&quot;,&quot;status&quot;:&quot;Up&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security', 'changed', 'changed']"
"2024-08-28T17:18:44.897123 Security.Arp.Plc.Retain.RetainDataSaved PLC Retain Info Retain data saved <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Retain data saved</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:18:44.999297 Security.Arp.Plc.Domain.PlcStarted PLC Manager Info PLC started. Start Kind: Warm, Used Memory: 49%, CPUs load: (CPU 0: 50 %,CPU 1: 41 %), Temperatures: (Board Temperature: 56.175 C, CPU Temperature: Not available, LastSensor Temperature: Not available) <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">PLC started. Start Kind: Warm, Used Memory: 49%, CPUs load: (CPU 0: 50 %,CPU 1: 41 %), Temperatures: (Board Temperature: 56.175 C, CPU Temperature: Not available, LastSensor Temperature: Not available)</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;cpus_load&quot;:&quot;CPU 0: 50 %,CPU 1: 41 %&quot;,&quot;startkind&quot;:&quot;Warm&quot;,&quot;temperatures&quot;:&quot;Board Temperature: 56.175 C, CPU Temperature: Not available, LastSensor Temperature: Not available&quot;,&quot;used_memory&quot;:&quot;49%&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:25:13.163790 Security.Arp.System.Um.SessionCreated User Manager Info Session created. User: admin, User roles: Admin , Security Token: 239A4022, Object name: Wbm, currently opened Sessions 2  <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Session created. User: admin, User roles: Admin , Security Token: 239A4022, Object name: Wbm, currently opened Sessions 2 </field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;objectname&quot;:&quot;Wbm&quot;,&quot;opened_sessions&quot;:&quot;2&quot;,&quot;token&quot;:&quot;239A4022&quot;,&quot;username&quot;:&quot;admin&quot;,&quot;userroles&quot;:&quot;Admin &quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['admin', 'Admin', 'admin', 'Admin', 'admin', 'Admin', 'Security', 'Security', 'Security', 'Security', 'Sessions', 'Sessions']"
"2024-08-28T17:26:07.102986 Security.Arp.Device.Interface.IpAddressChanged Device Interface Info IP Address changed: interface 1, value 192.168.137.10 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">IP Address changed: interface 1, value 192.168.137.10</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;interface&quot;:&quot;1&quot;,&quot;value&quot;:&quot;192.168.137.10&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['192.168.137.10', '192.168.137.10', '192.168.137.10', 'Security', 'Security', 'changed', 'changed']"
"2024-08-28T17:26:07.114862 Security.Arp.Device.Interface.SubnetChanged Device Interface Info Subnet changed: interface 1, value 255.255.255.0 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Subnet changed: interface 1, value 255.255.255.0</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;interface&quot;:&quot;1&quot;,&quot;value&quot;:&quot;255.255.255.0&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security', 'changed', 'changed']"
"2024-08-28T17:26:07.125986 Security.Arp.Device.Interface.GatewayChanged Device Interface Info Gateway changed: interface 1, value 192.168.137.1 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Gateway changed: interface 1, value 192.168.137.1</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;interface&quot;:&quot;1&quot;,&quot;value&quot;:&quot;192.168.137.1&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['192.168.137.1', '192.168.137.1', '192.168.137.1', 'Security', 'Security', 'changed', 'changed']"
"2024-08-28T17:26:07.142851 Security.Arp.Device.Interface.DnsNameChanged Device Interface Info Dns Name changed: interface 1, value 8.8.8.8 8.8.4.4 <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Dns Name changed: interface 1, value 8.8.8.8 8.8.4.4</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;interface&quot;:&quot;1&quot;,&quot;value&quot;:&quot;8.8.8.8 8.8.4.4&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security', 'changed', 'changed']"
"2024-08-28T17:26:07.177351 Security.Arp.Plc.Domain.PlcStopping PLC Manager Info Stopping PLC. Used Memory: 50%, CPUs load: (CPU 0: 10 %,CPU 1: 13 %), Temperatures: (Board Temperature: 56.69 C, CPU Temperature: Not available, LastSensor Temperature: Not available) <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Stopping PLC. Used Memory: 50%, CPUs load: (CPU 0: 10 %,CPU 1: 13 %), Temperatures: (Board Temperature: 56.69 C, CPU Temperature: Not available, LastSensor Temperature: Not available)</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;cpus_load&quot;:&quot;CPU 0: 10 %,CPU 1: 13 %&quot;,&quot;temperatures&quot;:&quot;Board Temperature: 56.69 C, CPU Temperature: Not available, LastSensor Temperature: Not available&quot;,&quot;used_memory&quot;:&quot;50%&quot;}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:26:07.191896 Security.Arp.Plc.Retain.RetainDataSaved PLC Retain Info Retain data saved <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Retain data saved</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
"2024-08-28T17:26:07.199405 Security.Arp.Device.Interface.DeviceRestarting Device Interface Info Restarting PLCnext Controller! <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Restarting PLCnext Controller!</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{}</field>
 <field type=""String""></field>
</payload>
  ",0,0,1,"['Security', 'Security']"
