Message,Label,Attack Technique
"Aug 29 16:46:22 axcf2152 syslog-ng[1903]: syslog-ng starting up; version='3.36.1'
",0,0
"Aug 29 16:46:22 axcf2152 bash[1911]: CMD: /etc/init.d/syslog restart | USER: root | CWD: /opt/plcnext
",0,0
"Aug 29 16:51:05 axcf2152 bash[1924]: CMD: /etc/init.d/syslog restart | USER: root | CWD: /opt/plcnext
",0,0
"Aug 29 16:51:39 axcf2152 sshd[1927]: Accepted password for admin from 192.168.137.1 port 64124 ssh2
",0,0
"Aug 29 16:51:39 axcf2152 sshd[1927]: pam_unix(sshd:session): session opened for user admin(uid=1002) by (uid=0)
",0,0
"Aug 29 16:55:01 axcf2152 bash[1944]: CMD: ls | USER: root | CWD: /opt/plcnext
",0,0
"Aug 29 16:55:03 axcf2152 bash[1951]: CMD: cd master/ | USER: root | CWD: /opt/plcnext/master
",0,0
"Aug 29 16:55:04 axcf2152 bash[1958]: CMD: ls | USER: root | CWD: /opt/plcnext/master
",0,0
"Aug 29 16:55:07 axcf2152 bash[1964]: CMD: cd scripts/ | USER: root | CWD: /opt/plcnext/master/scripts
",0,0
"Aug 29 16:55:10 axcf2152 bash[1971]: CMD: ls | USER: root | CWD: /opt/plcnext/master/scripts
",0,0
"Aug 29 16:55:51 axcf2152 crontab[1973]: (root) BEGIN EDIT (root)
",0,0
"Aug 29 16:56:16 axcf2152 crontab[1973]: (root) REPLACE (root)
",0,0
"Aug 29 16:56:16 axcf2152 crontab[1973]: (root) END EDIT (root)
",0,0
"Aug 29 16:56:16 axcf2152 bash[1984]: CMD: crontab -e | USER: root | CWD: /opt/plcnext/master/scripts
",0,0
"Aug 29 16:56:18 axcf2152 bash[1990]: CMD: pwd | USER: root | CWD: /opt/plcnext/master/scripts
",0,0
"Aug 29 16:56:24 axcf2152 crontab[1991]: (root) BEGIN EDIT (root)
",0,0
"Aug 29 16:57:01 axcf2152 crond[1996]: pam_unix(crond:session): session opened for user root(uid=0) by (uid=0)
",0,0
"Aug 29 16:57:01 axcf2152 CROND[1999]: (root) CMD (/opt/plcnext/master/scripts)
",0,0
"Aug 29 16:57:01 axcf2152 CROND[1996]: (root) CMDOUT (/bin/sh: line 1: /opt/plcnext/master/scripts: Is a directory)
",0,0
"Aug 29 16:57:01 axcf2152 CROND[1996]: (root) CMDEND (/opt/plcnext/master/scripts)
",0,0
"Aug 29 16:57:01 axcf2152 CROND[1996]: pam_unix(crond:session): session closed for user root
",0,0
"Aug 29 16:57:16 axcf2152 crontab[1991]: (root) REPLACE (root)
",0,0
"Aug 29 16:57:16 axcf2152 crontab[1991]: (root) END EDIT (root)
",0,0
"Aug 29 16:57:16 axcf2152 bash[2006]: CMD: crontab -e | USER: root | CWD: /opt/plcnext/master/scripts
",0,0
"Aug 29 16:57:29 axcf2152 bash[2015]: CMD: service cron start  | USER: root | CWD: /opt/plcnext/master/scripts
",0,0
"Aug 29 16:58:01 axcf2152 crond[1537]: (root) RELOAD (/var/spool/cron/root)
",0,0
"Aug 29 16:58:01 axcf2152 crond[2024]: pam_unix(crond:session): session opened for user root(uid=0) by (uid=0)
",0,0
"Aug 29 16:58:01 axcf2152 crond[2022]: pam_unix(crond:session): session opened for user root(uid=0) by (uid=0)
",0,0
"Aug 29 16:58:01 axcf2152 crond[2021]: pam_unix(crond:session): session opened for user root(uid=0) by (uid=0)
",0,0
"Aug 29 16:58:01 axcf2152 crond[2023]: pam_unix(crond:session): session opened for user root(uid=0) by (uid=0)
",0,0
"Aug 29 16:58:01 axcf2152 crond[2025]: pam_unix(crond:session): session opened for user root(uid=0) by (uid=0)
",0,0
"Aug 29 16:58:01 axcf2152 CROND[2028]: (root) CMD (/opt/plcnext/master/scripts/bash_monitor.sh)
",0,0
"Aug 29 16:58:01 axcf2152 CROND[2027]: (root) CMD (/opt/plcnext/master/scripts/cron_monit.sh)
",0,0
