Message,Label,Attack Technique,data-type
"[ID: 359] [Timestamp: 2024-08-24T23:05:20.822565] [Notification Name: Security.Arp.System.Um.SessionCreated] [Sender: User Manager] [Severity: Info] [Payload: Session created. User: engineer, User roles: Admin SecurityAdmin SecurityAuditor , Security Token: 2F9A3070, Object name: Wbm, currently opened Sessions 2 ] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Session created. User: engineer, User roles: Admin SecurityAdmin SecurityAuditor , Security Token: 2F9A3070, Object name: Wbm, currently opened Sessions 2 </field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;objectname&quot;:&quot;Wbm&quot;,&quot;opened_sessions&quot;:&quot;2&quot;,&quot;token&quot;:&quot;2F9A3070&quot;,&quot;username&quot;:&quot;engineer&quot;,&quot;userroles&quot;:&quot;Admin SecurityAdmin SecurityAuditor &quot;}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 360] [Timestamp: 2024-08-24T23:05:37.422408] [Notification Name: Security.Arp.Services.Firewall.ChainRulesSet] [Sender: Firewall Manager] [Severity: Info] [Payload: Set rules for chain plcnext_basic_filter in table plcnext_filter] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Set rules for chain plcnext_basic_filter in table plcnext_filter</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;chain&quot;:&quot;plcnext_basic_filter&quot;,&quot;table&quot;:&quot;plcnext_filter&quot;}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 361] [Timestamp: 2024-08-24T23:05:37.436770] [Notification Name: Security.Arp.Services.Firewall.ChainRulesSet] [Sender: Firewall Manager] [Severity: Info] [Payload: Set rules for chain plcnext_user_input in table plcnext_filter] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Set rules for chain plcnext_user_input in table plcnext_filter</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;chain&quot;:&quot;plcnext_user_input&quot;,&quot;table&quot;:&quot;plcnext_filter&quot;}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 362] [Timestamp: 2024-08-24T23:05:37.450083] [Notification Name: Security.Arp.Services.Firewall.ChainRulesSet] [Sender: Firewall Manager] [Severity: Info] [Payload: Set rules for chain plcnext_user_output in table plcnext_filter] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Set rules for chain plcnext_user_output in table plcnext_filter</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;chain&quot;:&quot;plcnext_user_output&quot;,&quot;table&quot;:&quot;plcnext_filter&quot;}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 363] [Timestamp: 2024-08-24T23:05:37.543898] [Notification Name: Security.Arp.Services.Firewall.ConfigApplied] [Sender: Firewall Manager] [Severity: Info] [Payload: Firewall config applied via Firewall Daemon] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Firewall config applied via Firewall Daemon</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 364] [Timestamp: 2024-08-24T23:05:54.950380] [Notification Name: Security.Arp.Services.Firewall.RunStatusChanged] [Sender: Firewall Manager] [Severity: Info] [Payload: Firewall run status changed to Started] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Firewall run status changed to Started</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;run_status&quot;:&quot;Started&quot;}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 365] [Timestamp: 2024-08-24T23:05:55.302744] [Notification Name: Security.Arp.Services.Firewall.ChainRulesSet] [Sender: Firewall Manager] [Severity: Info] [Payload: Set rules for chain plcnext_basic_filter in table plcnext_filter] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Set rules for chain plcnext_basic_filter in table plcnext_filter</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;chain&quot;:&quot;plcnext_basic_filter&quot;,&quot;table&quot;:&quot;plcnext_filter&quot;}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 366] [Timestamp: 2024-08-24T23:05:55.321390] [Notification Name: Security.Arp.Services.Firewall.ChainRulesSet] [Sender: Firewall Manager] [Severity: Info] [Payload: Set rules for chain plcnext_user_input in table plcnext_filter] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Set rules for chain plcnext_user_input in table plcnext_filter</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;chain&quot;:&quot;plcnext_user_input&quot;,&quot;table&quot;:&quot;plcnext_filter&quot;}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 367] [Timestamp: 2024-08-24T23:05:55.336897] [Notification Name: Security.Arp.Services.Firewall.ChainRulesSet] [Sender: Firewall Manager] [Severity: Info] [Payload: Set rules for chain plcnext_user_output in table plcnext_filter] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Set rules for chain plcnext_user_output in table plcnext_filter</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{&quot;chain&quot;:&quot;plcnext_user_output&quot;,&quot;table&quot;:&quot;plcnext_filter&quot;}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
"[ID: 368] [Timestamp: 2024-08-24T23:05:55.576385] [Notification Name: Security.Arp.Services.Firewall.ConfigApplied] [Sender: Firewall Manager] [Severity: Info] [Payload: Firewall config applied via Firewall Daemon] [Redundancy Type: <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Security::SecurityNotificationPayload"">
 <field type=""String"">Firewall config applied via Firewall Daemon</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">{}</field>
 <field type=""String""></field>
</payload>
] [Redundancy Role: ] [Payload XML: ]",1,6,1
