Message,Label,Attack Technique
[ID: 330] [Timestamp: 2024-08-24T21:45:42.891779] [Notification Name: Arp.System.Acf.SystemManager.Startup] [Sender: System Manager] [Severity: Info] [Payload: System starting up. Firmware version 2022.9.0 (22.9.0.33)],0,0
"[ID: 331] [Timestamp: 2024-08-24T21:45:42.891949] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: None, error=false, warning=false]",0,0
[ID: 332] [Timestamp: 2024-08-24T21:45:53.865473] [Notification Name: Arp.Io.Axioline.StateChanged] [Sender: Axioline] [Severity: Info] [Payload: Axioline State changed: RDY (0x0080)],0,0
"[ID: 339] [Timestamp: 2024-08-24T21:45:55.880098] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: Ready, error=false, warning=false]",0,0
"[ID: 340] [Timestamp: 2024-08-24T21:45:57.685269] [Notification Name: Arp.Io.PnD.PnStationStateChanged] [Sender: PROFINET Device] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnD (Device), BF=On, SF=Off]",0,0
[ID: 341] [Timestamp: 2024-08-24T21:45:57.696164] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed:  ==> Ready],0,0
"[ID: 342] [Timestamp: 2024-08-24T21:45:58.045717] [Notification Name: Arp.Io.PnC.PnStationStateChanged] [Sender: PROFINET Controller] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnC (Controller), BF=On, SF=Off]",0,0
"[ID: 343] [Timestamp: 2024-08-24T21:45:58.307684] [Notification Name: Arp.Io.PnC.PnStationStateChanged] [Sender: PROFINET Controller] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnC (Controller), BF=Off, SF=Off]",0,0
[ID: 344] [Timestamp: 2024-08-24T21:45:59.122752] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Ready ==> Stop (warm)],0,0
"[ID: 347] [Timestamp: 2024-08-24T21:46:01.243979] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: Stop, error=false, warning=false]",0,0
[ID: 348] [Timestamp: 2024-08-24T21:46:01.299383] [Notification Name: Arp.Plc.Domain.PlcManager.ConditionFailed] [Sender: PLC Manager] [Severity: Info] [Payload: Starting Plc is delayed by 'Arp.Services.SystemEvents' because of 'Complete system start'. Timeout is set to 0 milliseconds.],0,0
"[ID: 349] [Timestamp: 2024-08-24T21:46:01.304193] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Stop (warm) ==> Stop (warm, starting delayed)]",0,0
"[ID: 350] [Timestamp: 2024-08-24T21:46:01.308928] [Notification Name: Arp.Device.Interface.EthernetLinkStateChanged] [Sender: Device Interface] [Severity: Info] [Payload: Link state changed: interface 1, port 2, status: Up]",0,0
[ID: 352] [Timestamp: 2024-08-24T21:46:02.559375] [Notification Name: Arp.Plc.Domain.PlcManager.StartingDelayed] [Sender: PLC Manager] [Severity: Info] [Payload: Plc start delay condition 'Complete system start' expired after 1259 ms],0,0
[ID: 354] [Timestamp: 2024-08-24T21:46:02.667642] [Notification Name: Arp.Services.DataLogger.StatusChanged] [Sender: DataLogger] [Severity: Info] [Payload: Session 'DB_name': Session started logging of 18 variables.],0,0
[ID: 355] [Timestamp: 2024-08-24T21:46:02.708718] [Notification Name: Arp.Services.DataLogger.StatusChanged] [Sender: DataLogger] [Severity: Info] [Payload: Session 'Sec_log': Session started logging of 27 variables.],0,0
"[ID: 356] [Timestamp: 2024-08-24T21:46:02.715526] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Stop (warm, starting delayed) ==> Running]",0,0
"[ID: 358] [Timestamp: 2024-08-24T21:46:02.820277] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: Running, error=false, warning=false]",0,0
[ID: 378] [Timestamp: 2024-08-24T23:07:39.131849] [Notification Name: Arp.Services.DataLogger.StatusChanged] [Sender: DataLogger] [Severity: Info] [Payload: Session 'DB_name': Session stopped logging.],1,5
[ID: 379] [Timestamp: 2024-08-24T23:07:39.381998] [Notification Name: Arp.Services.DataLogger.StatusChanged] [Sender: DataLogger] [Severity: Info] [Payload: Session 'Sec_log': Session stopped logging.],1,5
[ID: 381] [Timestamp: 2024-08-24T23:07:39.413403] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Running ==> Stop (hot)],1,5
[ID: 383] [Timestamp: 2024-08-24T23:07:42.279284] [Notification Name: Arp.Services.NotificationLogger.ClosingArchive] [Sender: Notification Logger] [Severity: Info] [Payload: Closing archive 'security'.],1,5
[ID: 384] [Timestamp: 2024-08-24T23:07:54.861065] [Notification Name: Arp.System.Acf.SystemManager.Startup] [Sender: System Manager] [Severity: Info] [Payload: System starting up. Firmware version 2022.9.0 (22.9.0.33)],1,5
"[ID: 385] [Timestamp: 2024-08-24T23:07:54.861198] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: None, error=false, warning=false]",1,5
[ID: 386] [Timestamp: 2024-08-24T23:08:06.607918] [Notification Name: Arp.Io.Axioline.StateChanged] [Sender: Axioline] [Severity: Info] [Payload: Axioline State changed: RDY (0x0080)],1,5
"[ID: 393] [Timestamp: 2024-08-24T23:08:08.733578] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: Ready, error=false, warning=false]",1,5
"[ID: 394] [Timestamp: 2024-08-24T23:08:10.704214] [Notification Name: Arp.Io.PnD.PnStationStateChanged] [Sender: PROFINET Device] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnD (Device), BF=On, SF=Off]",1,5
[ID: 395] [Timestamp: 2024-08-24T23:08:10.721317] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed:  ==> Ready],1,5
"[ID: 396] [Timestamp: 2024-08-24T23:08:11.148304] [Notification Name: Arp.Io.PnC.PnStationStateChanged] [Sender: PROFINET Controller] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnC (Controller), BF=On, SF=Off]",1,5
"[ID: 397] [Timestamp: 2024-08-24T23:08:11.427931] [Notification Name: Arp.Io.PnC.PnStationStateChanged] [Sender: PROFINET Controller] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnC (Controller), BF=Off, SF=Off]",1,5
[ID: 398] [Timestamp: 2024-08-24T23:08:11.941655] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Ready ==> Stop (warm)],1,5
"[ID: 401] [Timestamp: 2024-08-24T23:08:14.736677] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: Stop, error=false, warning=false]",1,5
[ID: 402] [Timestamp: 2024-08-24T23:08:14.793391] [Notification Name: Arp.Plc.Domain.PlcManager.ConditionFailed] [Sender: PLC Manager] [Severity: Info] [Payload: Starting Plc is delayed by 'Arp.Services.SystemEvents' because of 'Complete system start'. Timeout is set to 0 milliseconds.],1,5
"[ID: 403] [Timestamp: 2024-08-24T23:08:14.796260] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Stop (warm) ==> Stop (warm, starting delayed)]",1,5
"[ID: 404] [Timestamp: 2024-08-24T23:08:14.804730] [Notification Name: Arp.Device.Interface.EthernetLinkStateChanged] [Sender: Device Interface] [Severity: Info] [Payload: Link state changed: interface 1, port 2, status: Up]",1,5
[ID: 406] [Timestamp: 2024-08-24T23:08:15.292127] [Notification Name: Arp.Plc.Domain.PlcManager.StartingDelayed] [Sender: PLC Manager] [Severity: Info] [Payload: Plc start delay condition 'Complete system start' expired after 498 ms],1,5
[ID: 408] [Timestamp: 2024-08-24T23:08:15.358337] [Notification Name: Arp.Services.DataLogger.StatusChanged] [Sender: DataLogger] [Severity: Info] [Payload: Session 'DB_name': Session started logging of 18 variables.],1,5
[ID: 409] [Timestamp: 2024-08-24T23:08:15.397640] [Notification Name: Arp.Services.DataLogger.StatusChanged] [Sender: DataLogger] [Severity: Info] [Payload: Session 'Sec_log': Session started logging of 27 variables.],1,5
"[ID: 410] [Timestamp: 2024-08-24T23:08:15.400586] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Stop (warm, starting delayed) ==> Running]",1,5
"[ID: 412] [Timestamp: 2024-08-24T23:08:15.499858] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: Running, error=false, warning=false]",1,5
[ID: 421] [Timestamp: 2024-08-24T23:54:42.641985] [Notification Name: Arp.Services.DataLogger.StatusChanged] [Sender: DataLogger] [Severity: Info] [Payload: Session 'DB_name': Session stopped logging.],1,10
[ID: 422] [Timestamp: 2024-08-24T23:54:42.869803] [Notification Name: Arp.Services.DataLogger.StatusChanged] [Sender: DataLogger] [Severity: Info] [Payload: Session 'Sec_log': Session stopped logging.],1,10
[ID: 424] [Timestamp: 2024-08-24T23:54:42.897218] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Running ==> Stop (hot)],1,10
[ID: 426] [Timestamp: 2024-08-24T23:54:44.830286] [Notification Name: Arp.Services.NotificationLogger.ClosingArchive] [Sender: Notification Logger] [Severity: Info] [Payload: Closing archive 'security'.],1,10
[ID: 427] [Timestamp: 2024-08-24T23:54:56.931716] [Notification Name: Arp.System.Acf.SystemManager.Startup] [Sender: System Manager] [Severity: Info] [Payload: System starting up. Firmware version 2022.9.0 (22.9.0.33)],1,10
"[ID: 428] [Timestamp: 2024-08-24T23:54:56.931940] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: None, error=false, warning=false]",1,10
[ID: 429] [Timestamp: 2024-08-24T23:55:08.999658] [Notification Name: Arp.Io.Axioline.StateChanged] [Sender: Axioline] [Severity: Info] [Payload: Axioline State changed: RDY (0x0080)],1,10
"[ID: 436] [Timestamp: 2024-08-24T23:55:11.186058] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: Ready, error=false, warning=false]",1,10
"[ID: 437] [Timestamp: 2024-08-24T23:55:13.457867] [Notification Name: Arp.Io.PnD.PnStationStateChanged] [Sender: PROFINET Device] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnD (Device), BF=On, SF=Off]",1,10
[ID: 438] [Timestamp: 2024-08-24T23:55:13.474117] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed:  ==> Ready],1,10
"[ID: 439] [Timestamp: 2024-08-24T23:55:14.055207] [Notification Name: Arp.Io.PnC.PnStationStateChanged] [Sender: PROFINET Controller] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnC (Controller), BF=On, SF=Off]",1,10
"[ID: 440] [Timestamp: 2024-08-24T23:55:14.326226] [Notification Name: Arp.Io.PnC.PnStationStateChanged] [Sender: PROFINET Controller] [Severity: Internal] [Payload: Led state changed: Arp.Io.PnC (Controller), BF=Off, SF=Off]",1,10
[ID: 441] [Timestamp: 2024-08-24T23:55:14.897867] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Ready ==> Stop (warm)],1,10
"[ID: 444] [Timestamp: 2024-08-24T23:55:17.066785] [Notification Name: Arp.System.Acf.SystemManager.StateChanged] [Sender: System Manager] [Severity: Info] [Payload: SystemManager state changed: Stop, error=false, warning=false]",1,10
[ID: 445] [Timestamp: 2024-08-24T23:55:17.141391] [Notification Name: Arp.Plc.Domain.PlcManager.ConditionFailed] [Sender: PLC Manager] [Severity: Info] [Payload: Starting Plc is delayed by 'Arp.Services.SystemEvents' because of 'Complete system start'. Timeout is set to 0 milliseconds.],1,10
"[ID: 446] [Timestamp: 2024-08-24T23:55:17.148802] [Notification Name: Arp.Plc.Domain.PlcManager.StateChanged] [Sender: PLC Manager] [Severity: Info] [Payload: Plc state changed: Stop (warm) ==> Stop (warm, starting delayed)]",1,10
"[ID: 447] [Timestamp: 2024-08-24T23:55:17.151813] [Notification Name: Arp.Device.Interface.EthernetLinkStateChanged] [Sender: Device Interface] [Severity: Info] [Payload: Link state changed: interface 1, port 2, status: Up]",1,10
[ID: 449] [Timestamp: 2024-08-24T23:55:17.624241] [Notification Name: Arp.Plc.Domain.PlcManager.StartingDelayed] [Sender: PLC Manager] [Severity: Info] [Payload: Plc start delay condition 'Complete system start' expired after 482 ms],1,10
