Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
49.62,113.82,0.0,327372800.0,31.0,44.56,146698240.0,16.0,4.0,56.0,382.82,94.18,269.0,0,0,5250287326294890914
52.56,120.26,0.0,327372800.0,31.0,44.36,146698240.0,16.2,4.0,56.0,390.6,96.92,270.34,0,0,5250287326344890874
53.56,122.26,0.0,327372800.0,31.0,44.46,146698240.0,16.2,4.0,56.0,393.46,98.02,271.2,0,0,5250287326394890764
53.28,122.72,0.0,327372800.0,31.0,45.04,146698240.0,16.2,4.0,56.0,394.6,98.32,271.88,0,0,5250287326444891084
54.58,121.28,0.0,327372800.0,31.0,45.24,146698240.0,16.2,4.0,56.0,393.08,99.82,271.8,0,0,5250287326494890854
51.16,115.62,0.0,327372800.0,31.0,44.58,146698240.0,16.2,4.0,56.0,388.22,95.74,272.6,0,0,5250287326544890834
48.24,119.66,0.0,327372800.0,31.0,43.6,146698240.0,16.2,4.0,56.0,388.08,91.84,268.42,0,0,5250287326594890764
49.08,119.34,0.0,327372800.0,31.0,43.94,146698240.0,16.2,4.2,56.0,386.66,93.02,267.32,0,0,5250287326644890944
52.62,120.1,0.0,327286456.32,31.0,49.74,146784583.68,19.8,8.6,56.0,404.72,102.36,284.62,0,0,5250287326694891104
54.48,121.84,0.0,327233536.0,31.0,44.6,146837504.0,16.86,5.08,56.0,392.08,99.08,270.24,0,0,5250287326744890814
51.48,116.84,0.0,327233536.0,31.0,45.5,146837504.0,16.2,4.0,56.0,390.14,96.98,273.3,0,0,5250287326794890854
53.68,119.54,0.0,327233536.0,31.0,44.92,146837504.0,16.0,4.0,56.0,389.68,98.6,270.14,0,0,5250287326844890944
52.62,117.78,0.0,327233536.0,31.0,45.36,146837504.0,16.0,4.0,56.0,391.64,97.98,273.86,0,0,5250287326894890824
52.6,119.24,0.0,327233536.0,31.0,44.84,146837504.0,16.2,4.0,56.0,391.58,97.44,272.34,0,0,5250287326944890924
52.56,121.18,0.0,327233536.0,31.0,43.76,146837504.0,16.2,4.0,56.0,391.58,96.32,270.4,0,0,5250287326994890924
50.7,115.92,0.0,327233536.0,31.0,44.42,146837504.0,16.2,4.0,56.0,383.7,95.12,267.78,0,0,5250287327044890854
53.54,118.86,0.0,327233536.0,31.0,44.32,146837504.0,16.42,4.0,56.0,388.56,97.86,269.7,0,0,5250287327094890744
50.3,115.44,0.0,327233536.0,31.0,43.4,146837504.0,16.2,4.0,56.0,379.38,93.7,263.94,0,0,5250287327144890964
53.36,122.24,0.0,327233536.0,31.0,44.44,146837504.0,16.2,4.0,56.0,392.88,97.8,270.64,0,0,5250287327194891064
53.32,119.42,0.0,327233536.0,31.0,43.76,146837504.0,16.2,4.0,56.0,386.88,97.08,267.46,0,0,5250287327244891434
48.94,113.16,0.0,327233536.0,31.0,45.76,146837504.0,16.0,4.0,56.0,385.54,94.7,272.38,0,0,5250287327294890804
53.74,122.66,0.0,327233536.0,31.0,44.04,146837504.0,16.22,4.0,56.0,393.88,97.78,271.22,0,0,5250287327344890914
52.94,119.78,0.0,327233536.0,31.0,44.16,146837504.0,16.22,4.0,56.0,390.46,97.1,270.68,0,0,5250287327394890934
52.0,119.08,0.0,327233536.0,31.0,45.26,146837504.0,16.38,4.0,56.0,390.08,97.26,271.0,0,0,5250287327444891334
51.22,117.8,0.0,327233536.0,31.0,45.28,146837504.0,16.0,4.0,56.0,387.5,96.5,269.7,0,0,5250287327494890854
49.0,114.26,0.0,327233536.0,31.0,43.4,146837504.0,16.2,4.0,56.0,382.12,92.4,267.86,0,0,5250287327544890784
48.3,119.2,0.0,327233536.0,31.0,43.66,146837504.0,16.2,4.0,56.0,386.54,91.96,267.34,0,0,5250287327594890834
45.0,113.84,0.0,327233536.0,31.0,44.72,146837504.0,16.7,4.0,56.0,383.22,89.72,269.38,0,0,5250287327644890694
