Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
55.5,136.6,0.0,331448320.0,30.0,54.98,142622720.0,40.0,31.4,56.0,412.18,110.48,275.58,0,0,2024-08-24 21:57:07
51.76,131.58,0.0,331448320.0,30.0,49.6,142622720.0,18.3,18.46,56.0,390.62,101.36,259.04,0,0,2024-08-24 21:57:12
50.16,128.56,0.0,331448320.0,30.0,49.44,142622720.0,28.66,14.66,56.0,388.06,99.6,259.5,0,0,2024-08-24 21:57:17
50.02,127.64,0.0,331448320.0,30.0,50.4,142622720.0,25.86,6.44,56.0,387.3,100.42,259.66,0,0,2024-08-24 21:57:22
57.26,143.06,0.0,331447746.56,30.0,55.6,142623293.44,27.52,15.46,56.0,427.04,112.86,283.98,0,0,2024-08-24 21:57:27
46.0,122.96,0.0,331444224.0,30.0,47.16,142626816.0,21.88,18.54,56.0,372.86,93.16,249.9,0,0,2024-08-24 21:57:32
56.12,140.2,0.0,331444224.0,30.0,52.02,142626816.0,19.96,18.88,56.0,421.1,108.14,280.9,0,0,2024-08-24 21:57:37
53.0,126.92,0.0,331444224.0,30.0,49.42,142626816.0,31.76,13.64,56.0,454.14,102.42,327.22,0,0,2024-08-24 21:57:42
59.16,152.0,0.0,331388190.72,30.0,52.82,142682849.28,18.98,7.94,56.0,491.86,111.98,339.86,0,0,2024-08-24 21:57:47
56.28,143.76,0.0,331338547.2,30.0,52.0,142732492.8,26.3,20.52,56.0,474.18,108.28,330.42,0,0,2024-08-24 21:57:52
43.38,128.64,0.0,331309056.0,30.0,46.4,142761984.0,17.32,5.0,56.0,409.7,89.78,281.06,0,0,2024-08-24 21:57:57
68.18,183.36,0.0,331305533.44,30.0,56.7,142765506.56,27.2,17.02,56.0,522.02,124.88,338.66,0,0,2024-08-24 21:58:02
