Message,Label,Attack Technique
"2024-08-28T17:18:11.828773 Arp.System.Acf.SystemManager.Startup System Manager Info System starting up. Firmware version 2022.9.0 (22.9.0.33) <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Acf::SystemStartupPayload"">
 <field type=""String"">System starting up. Firmware version {}</field>
 <field type=""String"">2022.9.0 (22.9.0.33)</field>
</payload>
  ",0,0
"2024-08-28T17:18:11.829080 Arp.System.Acf.SystemManager.StateChanged System Manager Info SystemManager state changed: None, error=false, warning=false <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Acf::SystemManagerStatePayload"">
 <field type=""String"">SystemManager state changed: {}, error={}, warning={}</field>
 <field type=""String"">None</field>
 <field type=""Bool"">false</field>
 <field type=""Bool"">false</field>
</payload>
  ",0,0
"2024-08-28T17:18:22.944492 Arp.Io.Axioline.StateChanged Axioline Info Axioline State changed: RDY (0x0080) <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Io::Axioline::AxioStatePayload"">
 <field type=""String"">Axioline State changed: RDY (0x0080)</field>
 <field type=""Uint16"">128</field>
 <field type=""Uint16"">0</field>
 <field type=""Uint16"">0</field>
</payload>
  ",0,0
"2024-08-28T17:18:25.187051 Arp.System.Acf.SystemManager.StateChanged System Manager Info SystemManager state changed: Ready, error=false, warning=false <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Acf::SystemManagerStatePayload"">
 <field type=""String"">SystemManager state changed: {}, error={}, warning={}</field>
 <field type=""String"">Ready</field>
 <field type=""Bool"">false</field>
 <field type=""Bool"">false</field>
</payload>
  ",0,0
"2024-08-28T17:18:26.998054 Arp.Io.PnD.PnStationStateChanged PROFINET Device Internal Led state changed: Arp.Io.PnD (Device), BF=On, SF=Off <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Io::ProfinetStack::PnStationStatePayload"">
 <field type=""String"">Led state changed: {} ({}), BF=On, SF=Off</field>
 <field type=""String"">Arp.Io.PnD</field>
 <field type=""String"">Device</field>
 <field type=""Bool"">true</field>
 <field type=""Bool"">false</field>
</payload>
  ",0,0
"2024-08-28T17:18:27.012563 Arp.Plc.Domain.PlcManager.StateChanged PLC Manager Info Plc state changed:  ==> Ready <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Plc::PlcStateChangedPayload"">
 <field type=""String"">Plc state changed:  ==&gt; Ready</field>
 <field type=""Uint32"">0</field>
 <field type=""Uint32"">1</field>
</payload>
  ",0,0
"2024-08-28T17:18:27.115468 Arp.Io.PnC.PnStationStateChanged PROFINET Controller Internal Led state changed: Arp.Io.PnC (Controller), BF=On, SF=Off <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Io::ProfinetStack::PnStationStatePayload"">
 <field type=""String"">Led state changed: {} ({}), BF=On, SF=Off</field>
 <field type=""String"">Arp.Io.PnC</field>
 <field type=""String"">Controller</field>
 <field type=""Bool"">true</field>
 <field type=""Bool"">false</field>
</payload>
  ",0,0
"2024-08-28T17:18:27.192149 Arp.Plc.Retain.Warning Retain Manager Warning RetainInfo.xml could not be loaded /opt/plcnext/retaining/RetainInfo.xml, extended retain not possible. <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::Nm::StringPayload"">
 <field type=""String"">{1}</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">RetainInfo.xml could not be loaded /opt/plcnext/retaining/RetainInfo.xml, extended retain not possible.</field>
</payload>
  ",0,0
"2024-08-28T17:18:27.334404 Arp.Io.PnC.PnStationStateChanged PROFINET Controller Internal Led state changed: Arp.Io.PnC (Controller), BF=Off, SF=Off <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Io::ProfinetStack::PnStationStatePayload"">
 <field type=""String"">Led state changed: {} ({}), BF=Off, SF=Off</field>
 <field type=""String"">Arp.Io.PnC</field>
 <field type=""String"">Controller</field>
 <field type=""Bool"">false</field>
 <field type=""Bool"">false</field>
</payload>
  ",0,0
"2024-08-28T17:18:27.387291 Arp.Plc.Domain.PlcManager.StateChanged PLC Manager Info Plc state changed: Ready ==> Stop (warm) <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Plc::PlcStateChangedPayload"">
 <field type=""String"">Plc state changed: Ready ==&gt; Stop (warm)</field>
 <field type=""Uint32"">1</field>
 <field type=""Uint32"">1048578</field>
</payload>
  ",0,0
"2024-08-28T17:18:34.268566 Arp.System.Acf.SystemManager.StateChanged System Manager Info SystemManager state changed: Stop, error=false, warning=false <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Acf::SystemManagerStatePayload"">
 <field type=""String"">SystemManager state changed: {}, error={}, warning={}</field>
 <field type=""String"">Stop</field>
 <field type=""Bool"">false</field>
 <field type=""Bool"">false</field>
</payload>
  ",0,0
"2024-08-28T17:18:34.322709 Arp.Plc.Domain.PlcManager.ConditionFailed PLC Manager Info Starting Plc is delayed by 'Arp.Services.SystemEvents' because of 'Complete system start'. Timeout is set to 0 milliseconds. <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::Nm::StringPayload"">
 <field type=""String"">{1}</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">Starting Plc is delayed by 'Arp.Services.SystemEvents' because of 'Complete system start'. Timeout is set to 0 milliseconds.</field>
</payload>
  ",0,0
"2024-08-28T17:18:34.324999 Arp.Plc.Domain.PlcManager.StateChanged PLC Manager Info Plc state changed: Stop (warm) ==> Stop (warm, starting delayed) <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Plc::PlcStateChangedPayload"">
 <field type=""String"">Plc state changed: Stop (warm) ==&gt; Stop (warm, starting delayed)</field>
 <field type=""Uint32"">1048578</field>
 <field type=""Uint32"">3145730</field>
</payload>
  ",0,0
"2024-08-28T17:18:34.329368 Arp.Device.Interface.EthernetLinkStateChanged Device Interface Info Link state changed: interface 1, port 2, status: Up <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Device::EthernetLinkStatePayload"">
 <field type=""String"">Link state changed: interface {}, port {}, status: {}</field>
 <field type=""Uint32"">1</field>
 <field type=""Uint32"">2</field>
 <field type=""String"">Up</field>
</payload>
  ",0,0
"2024-08-28T17:18:44.887760 Arp.Plc.Domain.PlcManager.StartingDelayed PLC Manager Info Plc start delay condition 'Complete system start' expired after 10565 ms <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::Nm::StringPayload"">
 <field type=""String"">{1}</field>
 <field type=""Uint32"">1</field>
 <field type=""String"">Plc start delay condition 'Complete system start' expired after 10565 ms</field>
</payload>
  ",0,0
"2024-08-28T17:18:44.997039 Arp.Plc.Domain.PlcManager.StateChanged PLC Manager Info Plc state changed: Stop (warm, starting delayed) ==> Running <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Plc::PlcStateChangedPayload"">
 <field type=""String"">Plc state changed: Stop (warm, starting delayed) ==&gt; Running</field>
 <field type=""Uint32"">3145730</field>
 <field type=""Uint32"">3</field>
</payload>
  ",0,0
"2024-08-28T17:18:45.006742 Arp.System.Acf.SystemManager.StateChanged System Manager Info SystemManager state changed: Running, error=false, warning=false <?xml version=""1.0"" encoding=""UTF-8""?>
<payload name=""Arp::System::NmPayload::Acf::SystemManagerStatePayload"">
 <field type=""String"">SystemManager state changed: {}, error={}, warning={}</field>
 <field type=""String"">Running</field>
 <field type=""Bool"">false</field>
 <field type=""Bool"">false</field>
</payload>
  ",0,0
