Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
84.36,110.74,0.0,348553052.16,26.02,72.4,125517987.84,36.34,97.68,55.0,499.56,156.76,388.82,0,0,2024-08-29 17:07:02
68.2,176.64,0.0,348561408.0,26.0,60.3,125509632.0,97.58,47.78,55.0,540.92,128.5,364.28,0,0,2024-08-29 17:07:07
62.54,178.74,0.0,348561408.0,26.0,58.34,125509632.0,98.84,13.0,55.0,519.32,120.88,340.58,0,0,2024-08-29 17:07:12
51.24,154.76,0.0,348561408.0,26.0,55.44,125509632.0,98.4,22.76,55.0,510.92,106.68,356.16,0,0,2024-08-29 17:07:17
54.58,174.12,0.0,348561408.0,26.0,54.32,125509632.0,99.0,12.0,55.0,518.2,108.9,344.08,0,0,2024-08-29 17:07:22
61.82,166.04,0.0,348558131.2,26.0,57.08,125512908.8,99.0,22.42,55.0,508.28,118.9,342.24,0,0,2024-08-29 17:07:27
54.02,149.9,0.0,348557312.0,26.0,54.64,125513728.0,99.0,12.0,55.0,502.62,108.66,352.72,0,0,2024-08-29 17:07:32
57.5,172.24,0.0,348557312.0,26.0,60.74,125513728.0,99.0,21.96,55.0,509.84,118.24,337.6,0,0,2024-08-29 17:07:37
45.44,125.26,0.0,348557312.0,26.0,56.18,125513728.0,99.0,10.0,55.0,451.76,101.62,326.5,0,0,2024-08-29 17:07:42
57.44,164.48,0.0,348557312.0,26.0,57.28,125513728.0,68.4,57.66,55.0,495.38,114.72,330.9,0,0,2024-08-29 17:07:47
50.36,145.58,0.0,348557312.0,26.0,54.2,125513728.0,22.72,99.0,55.0,448.22,104.56,302.64,0,0,2024-08-29 17:07:52
64.22,169.94,0.0,348555673.6,26.0,56.98,125515366.4,56.14,69.72,55.0,495.32,121.2,325.38,0,0,2024-08-29 17:07:57
70.92,170.32,0.0,348553216.0,26.0,62.8,125517824.0,99.0,13.58,55.0,521.88,133.72,351.56,0,0,2024-08-29 17:08:02
84.94,187.72,0.0,348553216.0,26.0,72.18,125517824.0,99.82,53.62,55.0,559.32,157.12,371.6,0,0,2024-08-29 17:08:07
