Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Label,Attack Technique
2024-08-29 17:03:20,0.0,0.08000000000000007,0.019999999999999574,0.010000000000000231,0.0,0.0,0.0,4.48,4.56,3.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:03:31,0.0,0.08999999999999986,0.010000000000000675,0.009999999999999787,0.0,0.0,0.0,4.57,4.57,3.92,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:03:41,0.0,-0.010000000000000675,0.0,0.010000000000000231,0.0,0.0,0.0,4.56,4.57,3.93,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:03:51,0.0,0.16000000000000014,0.02999999999999936,0.020000000000000018,0.0,0.0,0.0,4.72,4.6,3.95,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:04:02,2.0,0.040000000000000036,0.010000000000000675,0.009999999999999787,0.0,0.0,0.0,4.76,4.61,3.96,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:04:13,-2.0,0.11000000000000032,0.02999999999999936,0.020000000000000018,0.0,0.0,0.0,4.87,4.64,3.98,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:04:24,0.0,-0.04999999999999982,0.0,0.0,0.0,0.0,0.0,4.82,4.64,3.98,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:04:34,0.0,0.02999999999999936,0.010000000000000675,0.010000000000000231,0.0,0.0,0.0,4.85,4.65,3.99,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:04:44,0.0,0.03000000000000025,0.019999999999999574,0.019999999999999574,0.0,0.0,0.0,4.88,4.67,4.01,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:04:55,0.0,0.16999999999999993,0.040000000000000036,0.020000000000000462,0.0,0.0,0.0,5.05,4.71,4.03,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
